NUMBER_OF_SALES,NUMBER_OF_UNIQUE_PRODUCT,NUMBER_OF_SHOPS,STORE_LOCATION,PRODUCT_DETAIL,PRODUCT_CATEGORY,PRODUCT_TYPE,PURCHASE_DATE,DAY_NAME,MONTH_NAME,DAY_OF_MONTH,MONTH_ID,YEAR,HOUR_OF_DAY,AVG_REVENUE,TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,TRANSACTIONS,TIME_BUCKETS,DAY_CLASSIFICATION
1,1,1,Lower Manhattan,English Breakfast Rg,Tea,Brewed Black tea,2023-02-18,Sat,Feb,18,202302,2023,12,3,2.50,1,1,Afternoon,Weekend
1,1,1,Lower Manhattan,Cranberry Scone,Bakery,Scone,2023-02-18,Sat,Feb,18,202302,2023,12,3,3.25,1,1,Afternoon,Weekend
1,1,1,Lower Manhattan,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,2023-02-18,Sat,Feb,18,202302,2023,15,4,3.50,1,1,Afternoon,Weekend
1,1,1,Astoria,Chocolate Croissant,Bakery,Pastry,2023-02-18,Sat,Feb,18,202302,2023,19,4,3.75,1,1,Evening,Weekend
1,1,1,Astoria,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,2023-02-19,Sun,Feb,19,202302,2023,7,4,3.50,1,1,Morning,Weekend
2,1,1,Lower Manhattan,Hazelnut syrup,Flavours,Regular syrup,2023-02-19,Sun,Feb,19,202302,2023,7,2,2.40,3,2,Morning,Weekend
2,1,1,Lower Manhattan,Hazelnut syrup,Flavours,Regular syrup,2023-02-19,Sun,Feb,19,202302,2023,8,2,2.40,3,2,Morning,Weekend
1,1,1,Astoria,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,2023-02-19,Sun,Feb,19,202302,2023,8,3,2.50,1,1,Morning,Weekend
2,1,1,Lower Manhattan,Lemon Grass Rg,Tea,Brewed herbal tea,2023-02-19,Sun,Feb,19,202302,2023,9,10,10.00,4,2,Morning,Weekend
1,1,1,Astoria,Earl Grey Rg,Tea,Brewed Black tea,2023-02-19,Sun,Feb,19,202302,2023,9,3,2.50,1,1,Morning,Weekend
2,1,1,Lower Manhattan,Chocolate syrup,Flavours,Regular syrup,2023-02-19,Sun,Feb,19,202302,2023,10,3,3.20,4,2,Morning,Weekend
1,1,1,Hell's Kitchen,Brazilian Lg,Coffee,Organic brewed coffee,2023-02-19,Sun,Feb,19,202302,2023,12,7,7.00,2,1,Afternoon,Weekend
1,1,1,Astoria,I Need My Bean! Latte cup,Branded,Housewares,2023-02-19,Sun,Feb,19,202302,2023,16,14,14.00,1,1,Evening,Weekend
1,1,1,Lower Manhattan,Ethiopia Rg,Coffee,Gourmet brewed coffee,2023-02-20,Mon,Feb,20,202302,2023,7,3,3.00,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Peppermint Rg,Tea,Brewed herbal tea,2023-02-15,Wed,Feb,15,202302,2023,10,3,2.50,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Espresso shot,Coffee,Barista Espresso,2023-02-20,Mon,Feb,20,202302,2023,8,6,6.00,2,1,Morning,Weekday
1,1,1,Lower Manhattan,Chocolate Chip Biscotti,Bakery,Biscotti,2023-02-20,Mon,Feb,20,202302,2023,10,4,3.50,1,1,Morning,Weekday
4,1,1,Lower Manhattan,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,2023-02-20,Mon,Feb,20,202302,2023,10,24,24.00,8,4,Morning,Weekday
1,1,1,Astoria,Serenity Green Tea Lg,Tea,Brewed Green tea,2023-02-20,Mon,Feb,20,202302,2023,10,3,3.00,1,1,Morning,Weekday
2,1,1,Hell's Kitchen,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,2023-02-20,Mon,Feb,20,202302,2023,10,8,8.00,2,2,Morning,Weekday
1,1,1,Hell's Kitchen,Ginger Biscotti,Bakery,Biscotti,2023-02-20,Mon,Feb,20,202302,2023,13,4,3.50,1,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Jumbo Savory Scone,Bakery,Scone,2023-02-20,Mon,Feb,20,202302,2023,16,4,3.75,1,1,Evening,Weekday
1,1,1,Lower Manhattan,Earl Grey Lg,Tea,Brewed Black tea,2023-02-21,Tue,Feb,21,202302,2023,8,3,3.00,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Ouro Brasileiro shot,Coffee,Barista Espresso,2023-02-21,Tue,Feb,21,202302,2023,8,3,3.00,1,1,Morning,Weekday
3,1,1,Astoria,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,2023-02-21,Tue,Feb,21,202302,2023,9,16,16.00,4,3,Morning,Weekday
2,1,1,Hell's Kitchen,Almond Croissant,Bakery,Pastry,2023-02-21,Tue,Feb,21,202302,2023,9,8,7.50,2,2,Morning,Weekday
2,1,1,Lower Manhattan,Ginger Biscotti,Bakery,Biscotti,2023-02-21,Tue,Feb,21,202302,2023,9,7,7.00,2,2,Morning,Weekday
1,1,1,Lower Manhattan,Jamacian Coffee River,Coffee beans,Premium Beans,2023-02-21,Tue,Feb,21,202302,2023,13,20,19.75,1,1,Afternoon,Weekday
1,1,1,Lower Manhattan,I Need My Bean! T-shirt,Branded,Clothing,2023-02-21,Tue,Feb,21,202302,2023,13,28,28.00,1,1,Afternoon,Weekday
2,1,1,Lower Manhattan,Traditional Blend Chai Rg,Tea,Brewed Chai tea,2023-02-21,Tue,Feb,21,202302,2023,14,10,10.00,4,2,Afternoon,Weekday
1,1,1,Lower Manhattan,Brazilian Lg,Coffee,Organic brewed coffee,2023-02-21,Tue,Feb,21,202302,2023,15,4,3.50,1,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Peppermint Lg,Tea,Brewed herbal tea,2023-02-21,Tue,Feb,21,202302,2023,18,3,3.00,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Hazelnut syrup,Flavours,Regular syrup,2023-02-21,Tue,Feb,21,202302,2023,19,2,1.60,2,1,Evening,Weekday
1,1,1,Hell's Kitchen,Ethiopia Rg,Coffee,Gourmet brewed coffee,2023-02-22,Wed,Feb,22,202302,2023,7,3,3.00,1,1,Morning,Weekday
1,1,1,Astoria,Earl Grey Rg,Tea,Brewed Black tea,2023-02-22,Wed,Feb,22,202302,2023,8,3,2.50,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Ethiopia Sm,Coffee,Gourmet brewed coffee,2023-02-22,Wed,Feb,22,202302,2023,11,4,4.40,2,1,Morning,Weekday
1,1,1,Hell's Kitchen,Latte Rg,Coffee,Barista Espresso,2023-02-22,Wed,Feb,22,202302,2023,11,4,4.25,1,1,Morning,Weekday
1,1,1,Lower Manhattan,Brazilian Lg,Coffee,Organic brewed coffee,2023-02-22,Wed,Feb,22,202302,2023,13,11,10.50,3,1,Afternoon,Weekday
1,1,1,Astoria,Hazelnut Biscotti,Bakery,Biscotti,2023-02-22,Wed,Feb,22,202302,2023,14,3,3.25,1,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Ethiopia Lg,Coffee,Gourmet brewed coffee,2023-02-22,Wed,Feb,22,202302,2023,14,4,3.50,1,1,Afternoon,Weekday
2,1,1,Hell's Kitchen,Espresso shot,Coffee,Barista Espresso,2023-02-22,Wed,Feb,22,202302,2023,14,12,12.00,4,2,Afternoon,Weekday
1,1,1,Hell's Kitchen,Chocolate Chip Biscotti,Bakery,Biscotti,2023-02-22,Wed,Feb,22,202302,2023,15,4,3.50,1,1,Afternoon,Weekday
3,1,1,Hell's Kitchen,Ethiopia Lg,Coffee,Gourmet brewed coffee,2023-02-22,Wed,Feb,22,202302,2023,15,11,10.50,3,3,Afternoon,Weekday
1,1,1,Lower Manhattan,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,2023-02-22,Wed,Feb,22,202302,2023,16,12,12.00,3,1,Evening,Weekday
1,1,1,Lower Manhattan,Earl Grey Lg,Tea,Brewed Black tea,2023-02-22,Wed,Feb,22,202302,2023,16,3,3.00,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,2023-02-22,Wed,Feb,22,202302,2023,18,8,7.50,2,1,Evening,Weekday
1,1,1,Astoria,Chocolate Chip Biscotti,Bakery,Biscotti,2023-02-23,Thu,Feb,23,202302,2023,7,4,3.50,1,1,Morning,Weekday
1,1,1,Astoria,Lemon Grass Lg,Tea,Brewed herbal tea,2023-02-23,Thu,Feb,23,202302,2023,7,6,6.00,2,1,Morning,Weekday
2,1,1,Lower Manhattan,Sugar Free Vanilla syrup,Flavours,Sugar free syrup,2023-02-23,Thu,Feb,23,202302,2023,8,2,2.40,3,2,Morning,Weekday
2,1,1,Lower Manhattan,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,2023-02-23,Thu,Feb,23,202302,2023,11,8,7.65,3,2,Morning,Weekday
1,1,1,Lower Manhattan,Brazilian Rg,Coffee,Organic brewed coffee,2023-02-23,Thu,Feb,23,202302,2023,12,6,6.00,2,1,Afternoon,Weekday
2,1,1,Lower Manhattan,Ethiopia Lg,Coffee,Gourmet brewed coffee,2023-02-23,Thu,Feb,23,202302,2023,15,14,14.00,4,2,Afternoon,Weekday
1,1,1,Astoria,Serenity Green Tea Rg,Tea,Brewed Green tea,2023-02-23,Thu,Feb,23,202302,2023,16,5,5.00,2,1,Evening,Weekday
1,1,1,Astoria,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,2023-02-23,Thu,Feb,23,202302,2023,19,10,9.50,2,1,Evening,Weekday
1,1,1,Hell's Kitchen,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,2023-02-23,Thu,Feb,23,202302,2023,19,3,3.00,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Scottish Cream Scone ,Bakery,Scone,2023-02-24,Fri,Feb,24,202302,2023,7,5,4.50,1,1,Morning,Weekday
2,1,1,Lower Manhattan,Lemon Grass Lg,Tea,Brewed herbal tea,2023-02-24,Fri,Feb,24,202302,2023,8,12,12.00,4,2,Morning,Weekday
2,1,1,Lower Manhattan,Cranberry Scone,Bakery,Scone,2023-02-24,Fri,Feb,24,202302,2023,8,7,6.50,2,2,Morning,Weekday
1,1,1,Lower Manhattan,Serenity Green Tea Rg,Tea,Brewed Green tea,2023-02-24,Fri,Feb,24,202302,2023,8,3,2.50,1,1,Morning,Weekday
1,1,1,Lower Manhattan,Lemon Grass Rg,Tea,Brewed herbal tea,2023-02-24,Fri,Feb,24,202302,2023,9,8,7.50,3,1,Morning,Weekday
1,1,1,Astoria,Espresso shot,Coffee,Barista Espresso,2023-02-24,Fri,Feb,24,202302,2023,9,3,3.00,1,1,Morning,Weekday
1,1,1,Lower Manhattan,Hazelnut Biscotti,Bakery,Biscotti,2023-02-24,Fri,Feb,24,202302,2023,9,3,3.25,1,1,Morning,Weekday
2,1,1,Hell's Kitchen,Serenity Green Tea Lg,Tea,Brewed Green tea,2023-02-24,Fri,Feb,24,202302,2023,12,12,12.00,4,2,Afternoon,Weekday
1,1,1,Astoria,Cappuccino Lg,Coffee,Barista Espresso,2023-02-24,Fri,Feb,24,202302,2023,13,4,4.25,1,1,Afternoon,Weekday
1,1,1,Astoria,Brazilian Sm,Coffee,Organic brewed coffee,2023-02-24,Fri,Feb,24,202302,2023,17,2,2.20,1,1,Evening,Weekday
1,1,1,Lower Manhattan,Brazilian Sm,Coffee,Organic brewed coffee,2023-02-25,Sat,Feb,25,202302,2023,6,2,2.20,1,1,Morning,Weekend
1,1,1,Astoria,Earl Grey Lg,Tea,Brewed Black tea,2023-02-25,Sat,Feb,25,202302,2023,7,6,6.00,2,1,Morning,Weekend
1,1,1,Astoria,Traditional Blend Chai Lg,Tea,Brewed Chai tea,2023-02-25,Sat,Feb,25,202302,2023,14,3,3.00,1,1,Afternoon,Weekend
1,1,1,Lower Manhattan,Ouro Brasileiro shot,Coffee,Barista Espresso,2023-02-25,Sat,Feb,25,202302,2023,16,6,6.30,3,1,Evening,Weekend
1,1,1,Hell's Kitchen,Hazelnut Biscotti,Bakery,Biscotti,2023-02-26,Sun,Feb,26,202302,2023,7,3,3.25,1,1,Morning,Weekend
1,1,1,Lower Manhattan,Carmel syrup,Flavours,Regular syrup,2023-02-26,Sun,Feb,26,202302,2023,7,2,1.60,2,1,Morning,Weekend
1,1,1,Lower Manhattan,Brazilian Rg,Coffee,Organic brewed coffee,2023-02-26,Sun,Feb,26,202302,2023,7,3,3.00,1,1,Morning,Weekend
1,1,1,Astoria,Peppermint Lg,Tea,Brewed herbal tea,2023-02-26,Sun,Feb,26,202302,2023,8,6,6.00,2,1,Morning,Weekend
1,1,1,Lower Manhattan,English Breakfast Rg,Tea,Brewed Black tea,2023-02-26,Sun,Feb,26,202302,2023,8,5,5.00,2,1,Morning,Weekend
1,1,1,Astoria,Espresso shot,Coffee,Barista Espresso,2023-02-26,Sun,Feb,26,202302,2023,9,6,6.00,2,1,Morning,Weekend
1,1,1,Hell's Kitchen,Latte Rg,Coffee,Barista Espresso,2023-02-26,Sun,Feb,26,202302,2023,10,4,4.25,1,1,Morning,Weekend
1,1,1,Lower Manhattan,Brazilian Lg,Coffee,Organic brewed coffee,2023-02-26,Sun,Feb,26,202302,2023,10,4,3.50,1,1,Morning,Weekend
1,1,1,Lower Manhattan,Cappuccino,Coffee,Barista Espresso,2023-02-26,Sun,Feb,26,202302,2023,10,4,3.75,1,1,Morning,Weekend
1,1,1,Hell's Kitchen,Cappuccino,Coffee,Barista Espresso,2023-02-26,Sun,Feb,26,202302,2023,14,4,3.75,1,1,Afternoon,Weekend
1,1,1,Hell's Kitchen,Latte,Coffee,Barista Espresso,2023-02-26,Sun,Feb,26,202302,2023,14,8,7.50,2,1,Afternoon,Weekend
1,1,1,Hell's Kitchen,Our Old Time Diner Blend Lg,Coffee,Drip coffee,2023-02-26,Sun,Feb,26,202302,2023,16,3,3.00,1,1,Evening,Weekend
1,1,1,Astoria,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,2023-02-22,Wed,Feb,22,202302,2023,10,6,6.20,2,1,Morning,Weekday
1,1,1,Lower Manhattan,Peppermint Lg,Tea,Brewed herbal tea,2023-02-25,Sat,Feb,25,202302,2023,7,9,9.00,3,1,Morning,Weekend
1,1,1,Lower Manhattan,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,2023-02-27,Mon,Feb,27,202302,2023,7,2,2.00,1,1,Morning,Weekday
1,1,1,Astoria,Almond Croissant,Bakery,Pastry,2023-02-27,Mon,Feb,27,202302,2023,8,4,3.75,1,1,Morning,Weekday
1,1,1,Lower Manhattan,Brazilian Sm,Coffee,Organic brewed coffee,2023-02-27,Mon,Feb,27,202302,2023,9,4,4.40,2,1,Morning,Weekday
1,1,1,Astoria,Serenity Green Tea Rg,Tea,Brewed Green tea,2023-02-27,Mon,Feb,27,202302,2023,9,3,2.50,1,1,Morning,Weekday
1,1,1,Astoria,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,2023-02-27,Mon,Feb,27,202302,2023,9,5,4.50,1,1,Morning,Weekday
1,1,1,Astoria,Brazilian Sm,Coffee,Organic brewed coffee,2023-02-27,Mon,Feb,27,202302,2023,9,2,2.20,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Traditional Blend Chai Rg,Tea,Brewed Chai tea,2023-02-27,Mon,Feb,27,202302,2023,9,3,2.50,1,1,Morning,Weekday
1,1,1,Lower Manhattan,Almond Croissant,Bakery,Pastry,2023-02-27,Mon,Feb,27,202302,2023,10,4,3.75,1,1,Morning,Weekday
2,1,1,Hell's Kitchen,Hazelnut syrup,Flavours,Regular syrup,2023-02-27,Mon,Feb,27,202302,2023,10,3,3.20,4,2,Morning,Weekday
1,1,1,Astoria,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,2023-01-10,Tue,Jan,10,202301,2023,10,4,3.75,1,1,Morning,Weekday
1,1,1,Astoria,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,2023-01-15,Sun,Jan,15,202301,2023,8,3,3.00,1,1,Morning,Weekend
1,1,1,Hell's Kitchen,Cranberry Scone,Bakery,Scone,2023-02-05,Sun,Feb,5,202302,2023,15,3,3.25,1,1,Afternoon,Weekend
2,1,1,Astoria,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,2023-02-05,Sun,Feb,5,202302,2023,19,8,7.50,3,2,Evening,Weekend
1,1,1,Lower Manhattan,Ethiopia Sm,Coffee,Gourmet brewed coffee,2023-02-11,Sat,Feb,11,202302,2023,15,4,4.40,2,1,Afternoon,Weekend
1,1,1,Astoria,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,2023-02-14,Tue,Feb,14,202302,2023,10,3,2.50,1,1,Morning,Weekday
2,1,1,Hell's Kitchen,Chocolate Croissant,Bakery,Pastry,2023-02-22,Wed,Feb,22,202302,2023,10,8,7.50,2,2,Morning,Weekday
2,1,1,Hell's Kitchen,Serenity Green Tea Lg,Tea,Brewed Green tea,2023-02-24,Fri,Feb,24,202302,2023,7,9,9.00,3,2,Morning,Weekday
2,1,1,Lower Manhattan,Chocolate Chip Biscotti,Bakery,Biscotti,2023-02-24,Fri,Feb,24,202302,2023,8,7,7.00,2,2,Morning,Weekday
1,1,1,Hell's Kitchen,Earl Grey Rg,Tea,Brewed Black tea,2023-02-27,Mon,Feb,27,202302,2023,10,5,5.00,2,1,Morning,Weekday
3,1,1,Lower Manhattan,Ouro Brasileiro shot,Coffee,Barista Espresso,2023-02-27,Mon,Feb,27,202302,2023,15,15,15.30,6,3,Afternoon,Weekday
1,1,1,Hell's Kitchen,Cappuccino Lg,Coffee,Barista Espresso,2023-02-27,Mon,Feb,27,202302,2023,17,4,4.25,1,1,Evening,Weekday
1,1,1,Astoria,Serenity Green Tea Lg,Tea,Brewed Green tea,2023-02-28,Tue,Feb,28,202302,2023,8,6,6.00,2,1,Morning,Weekday
2,1,1,Astoria,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,2023-02-28,Tue,Feb,28,202302,2023,8,10,9.80,4,2,Morning,Weekday
1,1,1,Hell's Kitchen,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,2023-02-28,Tue,Feb,28,202302,2023,13,4,3.50,1,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,2023-02-28,Tue,Feb,28,202302,2023,13,8,8.00,2,1,Afternoon,Weekday
1,1,1,Astoria,Traditional Blend Chai Lg,Tea,Brewed Chai tea,2023-02-28,Tue,Feb,28,202302,2023,15,3,3.00,1,1,Afternoon,Weekday
1,1,1,Astoria,Earl Grey Lg,Tea,Brewed Black tea,2023-02-28,Tue,Feb,28,202302,2023,15,6,6.00,2,1,Afternoon,Weekday
1,1,1,Astoria,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,2023-02-28,Tue,Feb,28,202302,2023,16,3,3.10,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Cappuccino Lg,Coffee,Barista Espresso,2023-02-28,Tue,Feb,28,202302,2023,17,4,4.25,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Ethiopia Sm,Coffee,Gourmet brewed coffee,2023-02-28,Tue,Feb,28,202302,2023,17,2,2.20,1,1,Evening,Weekday
1,1,1,Astoria,Chocolate Croissant,Bakery,Pastry,2023-02-28,Tue,Feb,28,202302,2023,19,4,3.75,1,1,Evening,Weekday
1,1,1,Lower Manhattan,Earl Grey Rg,Tea,Brewed Black tea,2023-03-01,Wed,Mar,1,202303,2023,7,5,5.00,2,1,Morning,Weekday
2,1,1,Hell's Kitchen,Serenity Green Tea Lg,Tea,Brewed Green tea,2023-03-01,Wed,Mar,1,202303,2023,8,9,9.00,3,2,Morning,Weekday
2,1,1,Lower Manhattan,Espresso shot,Coffee,Barista Espresso,2023-03-01,Wed,Mar,1,202303,2023,9,12,12.00,4,2,Morning,Weekday
1,1,1,Hell's Kitchen,English Breakfast Rg,Tea,Brewed Black tea,2023-03-01,Wed,Mar,1,202303,2023,14,3,2.50,1,1,Afternoon,Weekday
2,1,1,Astoria,Jumbo Savory Scone,Bakery,Scone,2023-03-01,Wed,Mar,1,202303,2023,15,8,7.50,2,2,Afternoon,Weekday
1,1,1,Lower Manhattan,Latte Rg,Coffee,Barista Espresso,2023-03-01,Wed,Mar,1,202303,2023,15,9,8.50,2,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Almond Croissant,Bakery,Pastry,2023-03-01,Wed,Mar,1,202303,2023,17,4,3.75,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,2023-03-01,Wed,Mar,1,202303,2023,17,8,7.50,2,1,Evening,Weekday
2,1,1,Hell's Kitchen,Our Old Time Diner Blend Rg,Coffee,Drip coffee,2023-03-01,Wed,Mar,1,202303,2023,18,8,7.50,3,2,Evening,Weekday
1,1,1,Astoria,Brazilian Lg,Coffee,Organic brewed coffee,2023-03-01,Wed,Mar,1,202303,2023,18,4,3.50,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,2023-03-01,Wed,Mar,1,202303,2023,19,6,6.20,2,1,Evening,Weekday
1,1,1,Hell's Kitchen,English Breakfast Lg,Tea,Brewed Black tea,2023-03-01,Wed,Mar,1,202303,2023,19,3,3.00,1,1,Evening,Weekday
2,1,1,Lower Manhattan,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,2023-03-02,Thu,Mar,2,202303,2023,8,19,19.00,4,2,Morning,Weekday
1,1,1,Lower Manhattan,Chocolate Croissant,Bakery,Pastry,2023-03-02,Thu,Mar,2,202303,2023,10,4,3.75,1,1,Morning,Weekday
1,1,1,Lower Manhattan,Ethiopia Rg,Coffee,Gourmet brewed coffee,2023-03-02,Thu,Mar,2,202303,2023,12,3,3.00,1,1,Afternoon,Weekday
1,1,1,Lower Manhattan,English Breakfast Lg,Tea,Brewed Black tea,2023-03-02,Thu,Mar,2,202303,2023,12,3,3.00,1,1,Afternoon,Weekday
1,1,1,Astoria,Lemon Grass Lg,Tea,Brewed herbal tea,2023-03-02,Thu,Mar,2,202303,2023,13,6,6.00,2,1,Afternoon,Weekday
2,1,1,Astoria,Serenity Green Tea Rg,Tea,Brewed Green tea,2023-03-02,Thu,Mar,2,202303,2023,13,10,10.00,4,2,Afternoon,Weekday
1,1,1,Hell's Kitchen,Brazilian Rg,Coffee,Organic brewed coffee,2023-03-02,Thu,Mar,2,202303,2023,13,6,6.00,2,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Oatmeal Scone,Bakery,Scone,2023-03-02,Thu,Mar,2,202303,2023,14,3,3.00,1,1,Afternoon,Weekday
1,1,1,Astoria,Latte,Coffee,Barista Espresso,2023-03-02,Thu,Mar,2,202303,2023,15,8,7.50,2,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,2023-03-02,Thu,Mar,2,202303,2023,15,3,3.10,1,1,Afternoon,Weekday
2,1,1,Hell's Kitchen,Lemon Grass Rg,Tea,Brewed herbal tea,2023-03-02,Thu,Mar,2,202303,2023,17,8,7.50,3,2,Evening,Weekday
1,1,1,Astoria,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,2023-03-02,Thu,Mar,2,202303,2023,19,4,4.00,2,1,Evening,Weekday
1,1,1,Astoria,Serenity Green Tea Rg,Tea,Brewed Green tea,2023-03-02,Thu,Mar,2,202303,2023,19,5,5.00,2,1,Evening,Weekday
3,1,1,Lower Manhattan,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,2023-03-03,Fri,Mar,3,202303,2023,7,12,12.00,4,3,Morning,Weekday
1,1,1,Astoria,Our Old Time Diner Blend Rg,Coffee,Drip coffee,2023-03-03,Fri,Mar,3,202303,2023,14,3,2.50,1,1,Afternoon,Weekday
2,1,1,Astoria,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,2023-03-03,Fri,Mar,3,202303,2023,16,12,12.00,3,2,Evening,Weekday
1,1,1,Lower Manhattan,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,2023-03-04,Sat,Mar,4,202303,2023,7,9,9.00,2,1,Morning,Weekend
1,1,1,Lower Manhattan,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,2023-03-04,Sat,Mar,4,202303,2023,13,4,4.00,1,1,Afternoon,Weekend
1,1,1,Hell's Kitchen,Cappuccino,Coffee,Barista Espresso,2023-03-04,Sat,Mar,4,202303,2023,13,8,7.50,2,1,Afternoon,Weekend
1,1,1,Lower Manhattan,Chocolate Croissant,Bakery,Pastry,2023-03-04,Sat,Mar,4,202303,2023,14,4,3.75,1,1,Afternoon,Weekend
2,1,1,Hell's Kitchen,Lemon Grass Lg,Tea,Brewed herbal tea,2023-03-05,Sun,Mar,5,202303,2023,9,9,9.00,3,2,Morning,Weekend
1,1,1,Astoria,Espresso shot,Coffee,Barista Espresso,2023-03-05,Sun,Mar,5,202303,2023,12,6,6.00,2,1,Afternoon,Weekend
1,1,1,Astoria,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,2023-03-01,Wed,Mar,1,202303,2023,12,6,6.20,2,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,2023-03-05,Sun,Mar,5,202303,2023,13,2,2.00,1,1,Afternoon,Weekend
2,1,1,Hell's Kitchen,Cappuccino,Coffee,Barista Espresso,2023-03-05,Sun,Mar,5,202303,2023,13,8,7.50,2,2,Afternoon,Weekend
1,1,1,Astoria,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,2023-03-05,Sun,Mar,5,202303,2023,13,5,5.00,2,1,Afternoon,Weekend
1,1,1,Astoria,Serenity Green Tea Lg,Tea,Brewed Green tea,2023-03-05,Sun,Mar,5,202303,2023,15,3,3.00,1,1,Afternoon,Weekend
1,1,1,Lower Manhattan,Serenity Green Tea Rg,Tea,Brewed Green tea,2023-03-05,Sun,Mar,5,202303,2023,16,5,5.00,2,1,Evening,Weekend
1,1,1,Hell's Kitchen,Our Old Time Diner Blend Sm,Coffee,Drip coffee,2023-03-05,Sun,Mar,5,202303,2023,16,4,4.00,2,1,Evening,Weekend
1,1,1,Hell's Kitchen,Chocolate Croissant,Bakery,Pastry,2023-03-06,Mon,Mar,6,202303,2023,11,4,3.75,1,1,Morning,Weekday
1,1,1,Astoria,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,2023-03-06,Mon,Mar,6,202303,2023,12,4,3.50,1,1,Afternoon,Weekday
1,1,1,Astoria,Chocolate Croissant,Bakery,Pastry,2023-03-06,Mon,Mar,6,202303,2023,16,4,3.75,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Chocolate Chip Biscotti,Bakery,Biscotti,2023-03-06,Mon,Mar,6,202303,2023,17,4,3.50,1,1,Evening,Weekday
2,1,1,Lower Manhattan,Lemon Grass Rg,Tea,Brewed herbal tea,2023-03-06,Mon,Mar,6,202303,2023,17,8,7.50,3,2,Evening,Weekday
2,1,1,Astoria,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,2023-03-06,Mon,Mar,6,202303,2023,18,8,7.50,3,2,Evening,Weekday
1,1,1,Astoria,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,2023-03-06,Mon,Mar,6,202303,2023,19,8,7.50,2,1,Evening,Weekday
2,1,1,Lower Manhattan,Ginger Scone,Bakery,Scone,2023-03-07,Tue,Mar,7,202303,2023,7,7,6.50,2,2,Morning,Weekday
1,1,1,Lower Manhattan,Ethiopia,Coffee beans,Gourmet Beans,2023-03-07,Tue,Mar,7,202303,2023,7,21,21.00,1,1,Morning,Weekday
